0,1.22262,1.16668,582,805,2060,754,176569
0,1.33344,1.2165,683,872,2267,785,186355
0,1.31929,1.13057,642,878,2176,831,192469
0,1.49484,1.25246,728,1045,2599,863,207512
0,1.47195,1.30237,823,1189,2907,909,223208
0,1.58094,1.40551,887,1272,3225,930,229454
0,1.49426,1.38437,851,1173,3097,923,223712
0,1.40569,1.32563,802,1166,2967,922,223818
0,1.6141,1.43475,834,978,2709,918,188814
0,1.45967,1.25433,857,1117,3049,937,243078
0,1.59896,1.25757,804,1179,2957,928,235136
0,2.16697,1.58017,951,1404,3416,908,216179
0,2.57842,1.98008,915,937,2857,865,144287
0,2.38636,1.90428,1028,1019,3260,879,171193
0,1.7362099999999998,1.5901,1068,1296,3729,926,234513
0,2.06296,1.81559,1154,1798,4204,902,231550
0,2.58113,2.41801,1373,2998,5696,927,235566
0,2.93909,2.86635,1411,4064,7079,884,246969
0,3.22539,3.16662,1606,4447,7782,889,245751
0,3.06982,3.0155,1568,4224,7649,903,253656
0,3.20044,2.9978,1694,3689,7228,871,241110
0,2.44888,2.31957,1336,2583,5606,857,241683
0,2.1344,1.94707,1015,2103,4450,839,228549
0,1.99866,1.72985,880,1669,3810,835,220250
0,1.93849,1.51837,737,1321,2987,795,196724
0,1.41293,1.22616,624,1016,2439,775,198913
0,1.23472,1.05433,506,846,2028,741,192349
0,1.20005,1.07108,569,799,2082,735,194383
0,0.910135,0.8261200000000001,440,539,1467,669,177577
0,0.932265,0.8205049999999999,429,508,1445,682,176111
0,0.692175,0.630846,275,444,1075,655,170406
0,0.6694060000000001,0.63935,215,471,1005,613,157191
0,0.727705,0.586609,248,283,836,547,142514
0,0.717701,0.7730239999999999,264,262,740,406,95728
0,0.7893939999999999,0.790743,213,205,641,393,81063
0,0.722129,0.711847,201,195,563,344,79090
0,0.591326,0.794637,198,187,620,341,78023
0,0.52307,0.586604,139,123,423,322,72110
0,0.4502359999999999,0.6159819999999999,122,124,441,322,71593
0,0.397421,0.4915069999999999,109,91,318,310,64699
0,0.448002,0.604341,137,141,441,308,72972
0,0.474767,0.524478,98,98,365,301,69593
0,0.453251,0.590692,112,139,420,302,71103
0,0.3521579999999999,0.505135,100,120,361,290,71466
0,0.5253220000000001,0.634271,136,125,443,295,69844
0,0.492991,0.610118,120,131,421,283,69003
0,0.542728,0.641227,159,144,450,277,70178
0,0.490347,0.661429,166,155,463,276,70000
0,0.7359140000000001,0.7926810000000001,177,182,519,271,65474
0,0.581771,0.639059,145,184,475,267,74328
0,0.654162,0.636732,136,183,461,264,72401
0,0.749504,0.747829,135,221,533,268,71273
0,0.884021,0.960873,808,881,2442,830,254144
0,1.02773,1.04325,913,1132,2932,931,281045
0,1.28296,1.0545,878,1147,3031,974,287436
0,1.32661,1.11231,1006,1369,3475,1007,312412
